Project;repoPushed;solcVersion;hasTestDir;testScript;compile;migrate;test;pass;fail
willitscale/learning-solidity/tutorial-22;2018-10-26T02:45:15Z;^0.4.17;true;;true;false;;;;
willitscale/learning-solidity/tutorial-26;2018-10-26T02:45:15Z;^0.4.17;true;;true;true;true;6;0;
aragon/aragonOS;2019-07-15T16:07:19Z;0.4.24;true;true;true;true;true;3;23;
zeppelinos/labs/extensibility-study/base-scenario;2019-01-21T15:57:57Z;^0.4.21;true;true;true;true;false;;;
zeppelinos/labs/extensibility-study/child-upgradeability;2019-01-21T15:57:57Z;^0.4.21;true;true;true;true;false;;;
loomnetwork/erc721x;2019-03-29T18:49:47Z;0.6.0;true;true;true;true;true;21;0;
decentraland/land;2019-04-23T15:52:41Z;^0.4.23;true;true;true;true;true;159;57;
optionality/clone-factory;2019-01-18T16:31:12Z;^0.4.23;true;true;true;false;;;;
leapdao/solEVM-enforcer;2019-07-15T13:07:06Z;^0.5.2;true;true;true;false;;;;
HydroBlockchain/smart-contracts/client-raindrop;2019-02-01T21:03:52Z;^0.4.23;true;false;false;;;;;
HydroBlockchain/smart-contracts/hydro-token-and-server-raindrop;2019-02-01T21:03:52Z;^0.4.18;true;;false;;;;;
HydroBlockchain/smart-contracts/snowflake;2019-02-01T21:03:52Z;^0.5.0;true;true;true;true;true;31;10;
kleros/kleros-interaction;2019-07-15T18:06:36Z;^0.4.24;true;true;true;true;true;1;127;
dsys/solidity-sigutils;2018-07-10T02:50:48Z;^0.4.23;true;true;true;true;true;5;0;
smartcontractkit/solidity-cborutils;2019-07-13T18:35:53Z;^0.4.19;true;true;false;;;;;
nionis/purpose;2018-12-21T11:25:58Z;0.4.18;true;true;false;;;;;
tarrencev/curve-bonded-tokens;2018-12-03T18:31:49Z;^0.4.25;true;;true;true;true;5;0;
decentraland/marketplace-contracts;2019-04-08T14:14:18Z;^0.4.24;true;true;true;true;true;54;0;
aragonlabs/pay-protocol;2018-07-09T21:28:22Z;0.4.18;true;true;false;;;;;
aragon/evm-storage-proofs/packages/evm;2019-04-10T22:04:31Z;^0.4.24;true;true;true;true;true;1;3;
somish/govblocks-protocol;2019-05-30T07:11:20Z;0.4.24;true;;false;;;;;
